label,pair,treatment,sp.cd,leaf.a,dry.m,leaftk.1,leaftk.2,leaftk.3
ec01,1,b,ELLO3,11.963,0.09,0.19,0.21,0.24
ec01,1,b,ELLO3,,,0.24,0.21,0.21
ec01,1,b,ELLO3,,,0.28,0.22,0.18
ec04,2,b,ELLO3,11.252,0.09,0.27,0.31,0.19
ec04,2,b,ELLO3,,,0.36,0.19,0.28
ec04,2,b,ELLO3,,,0.39,0.19,0.21
ec05,3,b,ELLO3,5.041,0.05,0.18,0.11,0.08
ec05,3,b,ELLO3,,,0.16,0.14,0.22
ec05,3,b,ELLO3,,,0.14,0.23,0.13
ec07,4,b,ELLO3,7.373,0.05,0.26,0.24,0.19
ec07,4,b,ELLO3,,,0.16,0.2,0.18
ec07,4,b,ELLO3,,,0.16,0.17,0.16
ec10,5,b,ELLO3,10.394,0.07,0.15,0.19,0.23
ec10,5,b,ELLO3,,,0.23,0.22,0.24
ec10,5,b,ELLO3,,,0.27,0.29,0.29
ec12,6,b,ELLO3,10.828,0.07,0.21,0.22,0.22
ec12,6,b,ELLO3,,,0.17,0.21,0.24
ec12,6,b,ELLO3,,,0.12,0.2,0.25
ec13,7,b,ELLO3,7.957,0.05,0.17,0.18,0.13
ec13,7,b,ELLO3,,,0.17,0.15,0.12
ec13,7,b,ELLO3,,,0.19,0.18,0.19
ec15,8,b,ELLO3,10.794,0.07,0.28,0.14,0.1
ec15,8,b,ELLO3,,,0.21,0.19,0.2
ec15,8,b,ELLO3,,,0.28,0.19,0.2
ec17,9,b,ELLO3,10.565,0.06,0.26,0.16,0.29
ec17,9,b,ELLO3,,,0.22,0.22,0.22
ec17,9,b,ELLO3,,,0.14,0.17,0.17
ec19,10,b,ELLO3,7.468,0.06,0.24,0.16,0.21
ec19,10,b,ELLO3,,,0.24,0.18,0.17
ec19,10,b,ELLO3,,,0.2,0.14,0.16
ec21,11,b,ELLO3,8.2,0.06,0.25,0.16,0.21
ec21,11,b,ELLO3,,,0.23,0.16,0.2
ec21,11,b,ELLO3,,,0.19,0.15,0.21
ec23,12,b,ELLO3,6.211,0.05,0.26,0.21,0.22
ec23,12,b,ELLO3,,,0.2,0.22,0.22
ec23,12,b,ELLO3,,,0.14,0.16,0.18
ec26,13,b,ELLO3,8.001,0.05,0.19,0.2,0.22
ec26,13,b,ELLO3,,,0.18,0.18,0.21
ec26,13,b,ELLO3,,,0.22,0.12,0.15
ec27,14,b,ELLO3,8.51,0.05,0.28,0.21,0.33
ec27,14,b,ELLO3,,,0.18,0.24,0.27
ec27,14,b,ELLO3,,,0.18,0.15,0.2
ec29,15,b,ELLO3,10.321,0.08,0.27,0.28,0.2
ec29,15,b,ELLO3,,,0.25,0.25,0.22
ec29,15,b,ELLO3,,,0.2,0.23,0.15
erc01,1,b,ERCUC4,12.688,0.1,0.1,0.11,0.14
erc01,1,b,ERCUC4,,,0.12,0.15,0.1
erc01,1,b,ERCUC4,,,0.14,0.09,0.1
erc03,2,b,ERCUC4,5.017,0.04,0.09,0.11,0.09
erc03,2,b,ERCUC4,,,0.09,0.14,0.09
erc03,2,b,ERCUC4,,,0.09,0.16,0.11
erc05,3,b,ERCUC4,8.278,0.08,0.14,0.28,0.15
