sp.id,pair,treatment,lat,lon,ele,date,area,
ec21,11,b,36.07336,-104.32068,1801,6/11/16,kng,
ec22,11,u,36.07336,-104.32069,1801,6/11/16,kng,
ec23,12,b,36.0734,-104.31995,1798,6/11/16,kng,
ec24,12,u,36.07341,-104.31995,1793,6/11/16,kng,
ec25,13,u,36.07336,-104.31911,1796,6/11/16,kng,
ec26,13,b,36.07335,-104.31912,1796,6/11/16,kng,
ec27,14,b,36.07339,-104.31789,1793,6/11/16,kng,
ec28,14,u,36.07341,-104.31789,1794,6/11/16,kng,
ec29,15,b,36.07335,-104.31599,1791,6/11/16,kng,
ec30,15,u,36.07334,-104.31601,1793,6/11/16,kng,
erc01,1,b,36.26077,-102.83792,1326,6/11/16,kng,
erc02,1,u,36.26078,-102.83791,1326,6/11/16,kng,
erc03,2,b,36.26302,-102.84174,1326,6/17/16,kng,
erc04,2,u,36.26303,-102.8418,1326,6/17/16,kng,
erc05,3,b,36.30432,-102.91135,1356,6/17/16,kng,
erc06,3,u,36.30432,-102.91135,1356,6/17/16,kng,
erc07,4,b,36.23339,-102.79195,1321,6/24/16,kng,
erc08,4,u,36.23343,-102.79199,1320,6/24/16,tcr,texas-clayton road
erc09,5,b,36.23464,-102.79404,1321,6/24/16,tcr,
erc10,5,u,36.23463,-102.79401,1321,6/24/16,tcr,
erc11,6,b,36.24835,-102.81711,1328,6/24/16,tcr,
erc12,6,u,36.24833,-102.8171,1328,6/24/16,tcr,
erc13,7,b,36.25238,-102.8239,1325,6/24/16,tcr,
erc14,7,u,36.25241,-102.82392,1324,6/24/16,tcr,
erc15,8,b,36.26078,-102.838,1326,6/24/16,tcr,
erc16,8,u,36.26079,-102.83799,1326,6/24/16,tcr,
erc17,9,b,36.44633,-103.20053,1533,6/24/16,cmr,clayton-mills road
erc18,9,u,36.44634,-103.20052,1531,6/24/16,cmr,
erc19,10,b,36.44371,-103.20751,1541,6/24/16,cmr,
erc20,10,u,36.44368,-103.20758,1538,6/24/16,cmr,
erc21,11,b,36.42202,-103.25167,1534,6/24/16,cmr,
erc22,11,u,36.42203,-103.25166,1535,6/24/16,cmr,
erc23,12,b,36.40304,-103.28888,1570,6/24/16,cmr,
erc24,12,u,36.40306,-103.28883,1569,6/24/16,cmr,
erc25,13,u,36.30529,-104.16968,1916,7/8/16,kng,
erc26,13,b,36.30529,-104.16969,1916,7/8/16,kng,
erc27,14,b,36.30511,-104.0689,1844,7/16/16,kng,
erc28,14,u,36.30511,-104.06894,1849,7/16/16,kng,
erc29,15,b,36.30515,-104.05447,1838,7/16/16,kng,
erc30,15,u,36.30511,-104.05448,1836,7/16/16,kng,
sn01,1,u,36.0703,-104.3345,1790,6/4/16,kng,
sn02,1,b,36.0703,-104.33449,1792,6/4/16,kng,
sn03,2,b,36.06784,-104.34133,1786,6/4/16,kng,
sn04,2,u,36.06784,-104.34135,1786,6/4/16,kng,
sn05,3,b,36.07001,-104.34195,1778,6/4/16,kng,
sn06,3,u,36.07,-104.34196,1776,6/4/16,kng,
