label,pair,treatment,sp.cd,field.f,field.d,burn.f,burn.d,tiller.num,height,height.90,drym.10,wda10.1,wda10.2,wda10.3,wdb10.1,wdb10.2,wdb10.3,dry.m,wda.1,wda.2,wda.3,wdb.1,wdb.2,wdb.3
as22,9,u,AGSM,,,,,42,79,54,11.6,12,12,9,5,5.5,4.5,18.14,10,6,11.5,6,3,3
as23,10,b,AGSM,10.69,5.91,,,24,66,44,,5.5,5.5,5,2.5,2.3,2,,6,6,10.5,1.5,3,6.5
as24,10,u,AGSM,,,,,15,64,52,2.72,6,5,4.5,2,1.5,1.5,6.44,5,7,7,3,2.5,5
as25,11,b,AGSM,9.29,5.31,2.56,2.47,56,65,43,,10.5,9.8,8.5,4,5.2,5,,4.5,3.5,10.5,5,2.5,7
as26,11,u,AGSM,,,,,43,63,46,10.88,8.5,7,6.5,4,3.5,3,10.97,7,8,8,2,4,7
as27,12,b,AGSM,7.6,3.75,,,33,59,43,,6.5,6.8,7.5,2.3,1.3,2,,9,11,2,2.7,2,0.7
as28,12,u,AGSM,,,,,43,51,38,8.16,6.7,7,7,4.5,3,1.5,6.01,6.5,7,2,3,1.5,2
as29,13,b,AGSM,10.38,5.38,2.64,2.56,42,75,49,,9.5,7.5,7,5,3.5,5,,7,8.5,13,5.5,7,5
as30,13,u,AGSM,,,,,47,53,37,13.89,7.5,6,5.5,9,4.5,4,19.26,8.5,10,13,5.5,5,16
as31,14,b,AGSM,9.3,5.2,,,31,88,59,,5.5,6,7,4.5,3.5,4,,10.5,5.5,18,4.5,8,13.5
as32,14,u,AGSM,,,,,27,79,65,8.95,5.5,5,5,5.5,4,3,15.83,4.5,8,12,4,7.5,14
as33,15,b,AGSM,17.53,10.06,1.56,1.46,39,71,52,,8.5,8,8,4.5,4,4,,8.5,10.8,17,3,1.5,4.5
as34,15,u,AGSM,,,,,32,70,55,7.68,7,7,5.8,4,4.5,4.4,14.23,5.5,7.8,9,4.5,5,2
bi01,1,b,BRINI,18.09,6.97,,,6,39,37,,5,4,3,3,3,2,,7,24,35,4,2,8
bi02,1,u,BRINI,,,,,7,51,47,7.18,10,11,9.5,6,4.5,4.5,11.31,8,10.5,13,3,5,23
bi03,2,u,BRINI,,,,,8,33,30,3.45,7,3.5,3,4,3.5,4,5.64,4,4.5,7,4,1,7
bi04,2,b,BRINI,9.42,4.27,1.97,1.87,17,36,32,,10,8.7,23.5,7,5.5,8,,9.5,9.5,21,6,6.5,8
bi05,3,b,BRINI,8.63,3.74,1.01,0.98,7,50,49,,10.5,7.5,6,6,6.5,6.5,,6,18,9,10,10,38
bi06,3,u,BRINI,,,,,7,39,33,2.76,5,4,5,2,3,4,6.21,5,6,18,4,4,15
bi07,4,b,BRINI,7.57,3.77,,,18,68,47,,9.5,6.5,6,5.5,4.5,5,,7.5,8.5,19,5.5,4.8,12
bi08,4,u,BRINI,,,,,15,70,54,11.24,9,8,6.5,6,7.5,5,14.24,8.5,11.5,30,4,7.5,10
bi09,5,b,BRINI,14.95,7.48,,,16,71,47,,11,11,14,9,8.5,7.7,,5,4.3,5,6,2,3.7
bi10,5,u,BRINI,,,,,18,76,55,11.48,11.5,9.5,10,8,7,6.5,16.67,5.5,3.5,10,6,2.5,4
