time,mass
2016-06-08 11:56:33,"122	ec13	187.0376770496	2310030.0000000000"
2016-06-08 11:56:34,"126	ec13	188.0417749882	2310020.0000000000"
2016-06-08 11:56:35,"121	ec13	189.0369708538	2310380.0000000000"
2016-06-08 11:56:36,"151	ec13	190.0670979023	2310420.0000000000"
2016-06-08 11:56:37,"134	ec13	191.0502450466	2310370.0000000000"
2016-06-08 11:56:38,"124	ec13	192.0395209789	2310500.0000000000"
2016-06-08 11:56:39,"122	ec13	193.0376629829	2310720.0000000000"
2016-06-08 11:56:40,"122	ec13	194.0378189087	2311180.0000000000"
2016-06-08 11:56:41,"148	ec13	195.0639429092	2311310.0000000000"
2016-06-08 11:56:42,"127	ec13	196.0431749821	2310920.0000000000"
2016-06-08 11:56:43,"125	ec13	197.0412509441	2310450.0000000000"
2016-06-08 11:56:44,"122	ec13	198.0374929905	2310590.0000000000"
2016-06-08 11:56:45,"124	ec13	199.0397889614	2310530.0000000000"
2016-06-08 11:56:46,"121	ec13	200.0368640423	2310390.0000000000"
2016-06-08 11:56:47,"160	ec13	201.0759708881	2310280.0000000000"
2016-06-08 11:56:48,"142	ec13	202.0581340790	2310250.0000000000"
2016-06-08 11:56:49,"125	ec13	203.0413880348	2309880.0000000000"
2016-06-08 11:56:50,"126	ec13	204.0415718555	2309960.0000000000"
2016-06-08 11:56:51,"122	ec13	205.0377099514	2310060.0000000000"
2016-06-08 11:56:52,"125	ec13	206.0407700539	2310000.0000000000"
2016-06-08 11:56:53,"136	ec13	207.0519270897	2310040.0000000000"
2016-06-08 11:56:54,"123	ec13	208.0390460491	2309940.0000000000"
2016-06-08 11:56:55,"121	ec13	209.0372030735	2310090.0000000000"
2016-06-08 11:56:56,"123	ec13	210.0384268761	2310430.0000000000"
2016-06-08 11:56:57,"127	ec13	211.0424518585	2309960.0000000000"
2016-06-08 11:56:58,"122	ec13	212.0379490852	2310270.0000000000"
2016-06-08 11:56:59,"151	ec13	213.0671670437	2310140.0000000000"
2016-06-08 11:57:00,"133	ec13	214.0493419170	2310140.0000000000"
2016-06-08 11:57:01,"124	ec13	215.0395460129	2310160.0000000000"
2016-06-08 11:57:02,"122	ec13	216.0378019810	2310000.0000000000"
2016-06-08 11:57:03,"123	ec13	217.0388500690	2309950.0000000000"
2016-06-08 11:57:04,"145	ec13	218.0610189438	2309780.0000000000"
2016-06-08 11:57:05,"127	ec13	219.0431540012	2309710.0000000000"
2016-06-08 11:57:06,"126	ec13	220.0414230824	2309910.0000000000"
2016-06-08 11:57:07,"122	ec13	221.0376448631	2309800.0000000000"
2016-06-08 11:57:08,"125	ec13	222.0407729149	2310160.0000000000"
2016-06-08 11:57:09,"121	ec13	223.0368909836	2310100.0000000000"
2016-06-08 11:57:10,"160	ec13	224.0760219097	2310060.0000000000"
2016-06-08 11:57:11,"143	ec13	225.0592448711	2310090.0000000000"
2016-06-08 11:57:12,"126	ec13	226.0414400101	2310110.0000000000"
2016-06-08 11:57:13,"127	ec13	227.0425219536	2310090.0000000000"
2016-06-08 11:57:14,"122	ec13	228.0376479626	2309760.0000000000"
2016-06-08 11:57:15,"126	ec13	229.0417609215	2309820.0000000000"
2016-06-08 11:57:16,"136	ec13	230.0518958569	2309930.0000000000"
2016-06-08 11:57:17,"123	ec13	231.0390980244	2310040.0000000000"
2016-06-08 11:57:18,"121	ec13	232.0372030735	2310090.0000000000"
