time,mass
2016-06-22 10:22:37,"708		81.0366098881	1803900.0000000000"
2016-06-22 10:22:38,"709		82.0369739532	1796830.0000000000"
2016-06-22 10:22:39,"714		83.0422070026	1788080.0000000000"
2016-06-22 10:22:40,"709		84.0375268459	1782590.0000000000"
2016-06-22 10:22:41,"738		85.0666348934	1784650.0000000000"
2016-06-22 10:22:42,"721		86.0489790440	1773530.0000000000"
2016-06-22 10:22:43,"711		87.0391459465	1768270.0000000000"
2016-06-22 10:22:44,"709		88.0373249054	1765150.0000000000"
2016-06-22 10:22:45,"709		89.0375590324	1760040.0000000000"
2016-06-22 10:22:46,"735		90.0636949539	1750370.0000000000"
2016-06-22 10:22:47,"715		91.0428190231	1744730.0000000000"
2016-06-22 10:22:48,"713		92.0410978794	1742270.0000000000"
2016-06-22 10:22:49,"709		93.0373749733	1740150.0000000000"
2016-06-22 10:22:50,"711		94.0395450592	1734470.0000000000"
2016-06-22 10:22:51,"709		95.0377299786	1731550.0000000000"
2016-06-22 10:22:52,"747		96.0747990608	1730110.0000000000"
2016-06-22 10:22:53,"730		97.0580880642	1729200.0000000000"
2016-06-22 10:22:54,"713		98.0412850380	1726960.0000000000"
2016-06-22 10:22:55,"713		99.0414929390	1727680.0000000000"
2016-06-22 10:22:56,"710		100.0377700329	1731320.0000000000"
2016-06-22 10:22:57,"713		101.0410778522	1730900.0000000000"
2016-06-22 10:22:58,"724		102.0521769524	1732040.0000000000"
2016-06-22 10:22:59,"711		103.0393130779	1732040.0000000000"
2016-06-22 10:23:00,"709		104.0375480652	1731870.0000000000"
2016-06-22 10:23:01,"709		105.0377578735	1731060.0000000000"
2016-06-22 10:23:02,"715		106.0429329872	1729450.0000000000"
2016-06-22 10:23:03,"709		107.0371220112	1725970.0000000000"
2016-06-22 10:23:04,"739		108.0673220158	1716960.0000000000"
2016-06-22 10:23:05,"721		109.0496270657	1721480.0000000000"
2016-06-22 10:23:06,"712		110.0397958755	1727690.0000000000"
2016-06-22 10:23:07,"709		111.0370960236	1727320.0000000000"
2016-06-22 10:23:08,"710		112.0381720066	1725440.0000000000"
2016-06-22 10:23:09,"736		113.0644369125	1723490.0000000000"
2016-06-22 10:23:10,"715		114.0436229706	1721780.0000000000"
2016-06-22 10:23:11,"714		115.0417900085	1720450.0000000000"
2016-06-22 10:23:12,"709		116.0370068550	1720960.0000000000"
2016-06-22 10:23:13,"712		117.0402500629	1719390.0000000000"
2016-06-22 10:23:14,"709		118.0374779701	1715580.0000000000"
2016-06-22 10:23:15,"747		119.0756878853	1711690.0000000000"
2016-06-22 10:23:16,"731		120.0589320660	1710420.0000000000"
2016-06-22 10:23:17,"713		121.0411548615	1709500.0000000000"
2016-06-22 10:23:18,"714		122.0423748493	1708360.0000000000"
2016-06-22 10:23:19,"709		123.0375518799	1709270.0000000000"
2016-06-22 10:23:20,"713		124.0417559147	1708830.0000000000"
2016-06-22 10:23:21,"724		125.0518999100	1704550.0000000000"
2016-06-22 10:23:22,"711		126.0390739441	1697590.0000000000"
2016-06-22 10:23:23,"709		127.0372209549	1699430.0000000000"
2016-06-22 10:23:24,"710		128.0383229256	1696370.0000000000"
2016-06-22 10:23:25,"714		129.0425009727	1694370.0000000000"
2016-06-22 10:23:26,"709		130.0377039909	1691850.0000000000"
2016-06-22 10:23:27,"740		131.0677740574	1688920.0000000000"
2016-06-22 10:23:28,"722		132.0500738621	1687310.0000000000"
2016-06-22 10:23:29,"712		133.0402140617	1685090.0000000000"
2016-06-22 10:23:30,"709		134.0374009609	1681030.0000000000"
2016-06-22 10:23:31,"710		135.0386130810	1681290.0000000000"
2016-06-22 10:23:32,"732		136.0607330799	1681700.0000000000"
2016-06-22 10:23:33,"716		137.0438649654	1679370.0000000000"
2016-06-22 10:23:34,"714		138.0421860218	1681330.0000000000"
2016-06-22 10:23:35,"709		139.0374288559	1688520.0000000000"
2016-06-22 10:23:36,"712		140.0406010151	1689330.0000000000"
2016-06-22 10:23:37,"709		141.0367760658	1695270.0000000000"
2016-06-22 10:23:38,"748		142.0758879185	1688160.0000000000"
2016-06-22 10:23:39,"731		143.0591218472	1680100.0000000000"
2016-06-22 10:23:40,"713		144.0413570404	1682710.0000000000"
2016-06-22 10:23:41,"714		145.0425570011	1679260.0000000000"
2016-06-22 10:23:42,"709		146.0377628803	1677270.0000000000"
2016-06-22 10:23:43,"714		147.0419409275	1678000.0000000000"
2016-06-22 10:23:44,"724		148.0521769524	1679850.0000000000"
2016-06-22 10:23:45,"712		149.0404000282	1676590.0000000000"
2016-06-22 10:23:46,"709		150.0375268459	1675390.0000000000"
2016-06-22 10:23:47,"711		151.0388209820	1677700.0000000000"
2016-06-22 10:23:48,"715		152.0429999828	1686190.0000000000"
2016-06-22 10:23:49,"709		153.0371439457	1685540.0000000000"
2016-06-22 10:23:50,"739		154.0674550533	1685530.0000000000"
2016-06-22 10:23:51,"722		155.0506720543	1692880.0000000000"
2016-06-22 10:23:52,"712		156.0398988724	1691090.0000000000"
2016-06-22 10:23:53,"709		157.0370929241	1691180.0000000000"
2016-06-22 10:23:54,"711		158.0392520428	1697380.0000000000"
2016-06-22 10:23:55,"733		159.0614359379	1690400.0000000000"
2016-06-22 10:23:56,"719		160.0476820469	1688140.0000000000"
2016-06-22 10:23:57,"714		161.0419058800	1687100.0000000000"
2016-06-22 10:23:58,"709		162.0370149612	1686480.0000000000"
2016-06-22 10:23:59,"713		163.0411839485	1684590.0000000000"
2016-06-22 10:24:00,"709		164.0373790264	1684510.0000000000"
2016-06-22 10:24:01,"748		165.0765509605	1683160.0000000000"
2016-06-22 10:24:02,"730		166.0587449074	1681620.0000000000"
2016-06-22 10:24:03,"714		167.0420770645	1677960.0000000000"
2016-06-22 10:24:04,"715		168.0432019234	1676050.0000000000"
2016-06-22 10:24:05,"709		169.0374228954	1681030.0000000000"
2016-06-22 10:24:06,"713		170.0416600704	1682220.0000000000"
2016-06-22 10:24:07,"725		171.0528600216	1682250.0000000000"
2016-06-22 10:24:08,"712		172.0400989056	1678810.0000000000"
2016-06-22 10:24:09,"709		173.0372619629	1675730.0000000000"
2016-06-22 10:24:10,"710		174.0385589600	1678240.0000000000"
2016-06-22 10:24:11,"716		175.0437819958	1676200.0000000000"
2016-06-22 10:24:12,"710		176.0380780697	1675020.0000000000"
2016-06-22 10:24:13,"740		177.0681390762	1679380.0000000000"
2016-06-22 10:24:14,"722		178.0503530502	1678030.0000000000"
2016-06-22 10:24:15,"712		179.0405778885	1676810.0000000000"
2016-06-22 10:24:16,"709		180.0377659798	1677090.0000000000"
2016-06-22 10:24:17,"711		181.0389640331	1674980.0000000000"
2016-06-22 10:24:18,"709		182.0371840000	1675570.0000000000"
2016-06-22 10:24:19,"716		183.0444030762	1675150.0000000000"
2016-06-22 10:24:20,"714		184.0426678658	1674280.0000000000"
2016-06-22 10:24:21,"709		185.0369699001	1673370.0000000000"
2016-06-22 10:24:22,"713		186.0411338806	1674390.0000000000"
2016-06-22 10:24:23,"710		187.0383369923	1673620.0000000000"
2016-06-22 10:24:24,"748		188.0765819550	1674340.0000000000"
2016-06-22 10:24:25,"732		189.0598590374	1674290.0000000000"
2016-06-22 10:24:26,"714		190.0420780182	1673960.0000000000"
2016-06-22 10:24:27,"715		191.0431170464	1672170.0000000000"
2016-06-22 10:24:28,"709		192.0373239517	1672490.0000000000"
2016-06-22 10:24:29,"714		193.0425570011	1671670.0000000000"
2016-06-22 10:24:30,"725		194.0537350178	1671740.0000000000"
2016-06-22 10:24:31,"712		195.0399160385	1670920.0000000000"
2016-06-22 10:24:32,"709		196.0371379852	1671620.0000000000"
2016-06-22 10:24:33,"711		197.0393309593	1672390.0000000000"
2016-06-22 10:24:34,"715		198.0434799194	1675970.0000000000"
2016-06-22 10:24:35,"710		199.0387239456	1673080.0000000000"
2016-06-22 10:24:36,"741		200.0688819885	1672300.0000000000"
2016-06-22 10:24:37,"723		201.0510339737	1671510.0000000000"
2016-06-22 10:24:38,"713		202.0411858559	1668140.0000000000"
2016-06-22 10:24:39,"709		203.0374300480	1667900.0000000000"
2016-06-22 10:24:40,"711		204.0396299362	1668450.0000000000"
2016-06-22 10:24:41,"709		205.0368869305	1668070.0000000000"
2016-06-22 10:24:42,"720		206.0480890274	1668910.0000000000"
2016-06-22 10:24:43,"715		207.0431940556	1667960.0000000000"
2016-06-22 10:24:44,"709		208.0373759270	1667590.0000000000"
2016-06-22 10:24:45,"713		209.0415959358	1666750.0000000000"
2016-06-22 10:24:46,"710		210.0378389359	1666000.0000000000"
2016-06-22 10:24:47,"749		211.0770878792	1667400.0000000000"
2016-06-22 10:24:48,"732		212.0602328777	1667700.0000000000"
2016-06-22 10:24:49,"714		213.0424869061	1667180.0000000000"
2016-06-22 10:24:50,"715		214.0437078476	1666660.0000000000"
2016-06-22 10:24:51,"709		215.0369780064	1664430.0000000000"
2016-06-22 10:24:52,"714		216.0421090126	1663630.0000000000"
2016-06-22 10:24:53,"725		217.0532689095	1665060.0000000000"
2016-06-22 10:24:54,"712		218.0404579639	1664680.0000000000"
2016-06-22 10:24:55,"709		219.0376338959	1664450.0000000000"
2016-06-22 10:24:56,"711		220.0389108658	1664400.0000000000"
2016-06-22 10:24:57,"709		221.0370960236	1664030.0000000000"
2016-06-22 10:24:58,"710		222.0382030010	1662200.0000000000"
2016-06-22 10:24:59,"740		223.0684959888	1662250.0000000000"
2016-06-22 10:25:00,"723		224.0517189503	1662720.0000000000"
2016-06-22 10:25:01,"713		225.0410130024	1663010.0000000000"
2016-06-22 10:25:02,"709		226.0371899605	1663250.0000000000"
2016-06-22 10:25:03,"712		227.0404019356	1663370.0000000000"
2016-06-22 10:25:04,"709		228.0376160145	1663930.0000000000"
2016-06-22 10:25:05,"717		229.0447709560	1663480.0000000000"
2016-06-22 10:25:06,"709		230.0370259285	1664400.0000000000"
2016-06-22 10:25:07,"709		231.0372190475	1664710.0000000000"
2016-06-22 10:25:08,"713		232.0414249897	1663990.0000000000"
2016-06-22 10:25:09,"709		233.0376789570	1662050.0000000000"
2016-06-22 10:25:10,"750		234.0779368877	1660500.0000000000"
2016-06-22 10:25:11,"732		235.0601859093	1659530.0000000000"
2016-06-22 10:25:12,"715		236.0434489250	1660010.0000000000"
2016-06-22 10:25:13,"710		237.0377879143	1659830.0000000000"
2016-06-22 10:25:14,"710		238.0379259586	1659520.0000000000"
2016-06-22 10:25:15,"715		239.0430619717	1660260.0000000000"
2016-06-22 10:25:16,"726		240.0543129444	1660460.0000000000"
2016-06-22 10:25:17,"712		241.0406439304	1660160.0000000000"
2016-06-22 10:25:18,"709		242.0368938446	1660640.0000000000"
2016-06-22 10:25:19,"712		243.0401229858	1661730.0000000000"
2016-06-22 10:25:20,"709		244.0373530388	1661430.0000000000"
2016-06-22 10:25:21,"710		245.0386030674	1660680.0000000000"
2016-06-22 10:25:22,"740		246.0687470436	1660820.0000000000"
2016-06-22 10:25:23,"724		247.0518429279	1660600.0000000000"
2016-06-22 10:25:24,"713		248.0411489010	1659990.0000000000"
2016-06-22 10:25:25,"709		249.0373840332	1657590.0000000000"
2016-06-22 10:25:26,"712		250.0406539440	1656080.0000000000"
2016-06-22 10:25:27,"708		251.0366189480	1656000.0000000000"
2016-06-22 10:25:28,"718		252.0458979607	1659740.0000000000"
2016-06-22 10:25:29,"709		253.0371079445	1659520.0000000000"
2016-06-22 10:25:30,"709		254.0373909473	1658390.0000000000"
2016-06-22 10:25:31,"714		255.0426340103	1657470.0000000000"
2016-06-22 10:25:32,"709		256.0368409157	1656750.0000000000"
2016-06-22 10:25:33,"750		257.0779609680	1656950.0000000000"
2016-06-22 10:25:34,"732		258.0601649284	1657900.0000000000"
2016-06-22 10:25:35,"715		259.0434620380	1657280.0000000000"
2016-06-22 10:25:36,"709		260.0376920700	1657600.0000000000"
2016-06-22 10:25:37,"710		261.0378749371	1657860.0000000000"
2016-06-22 10:25:38,"715		262.0430569649	1656910.0000000000"
2016-06-22 10:25:39,"726		263.0542960167	1657770.0000000000"
2016-06-22 10:25:40,"713		264.0415029526	1660180.0000000000"
2016-06-22 10:25:41,"709		265.0376920700	1661570.0000000000"
2016-06-22 10:25:42,"712		266.0398459435	1661410.0000000000"
2016-06-22 10:25:43,"709		267.0371079445	1661380.0000000000"
2016-06-22 10:25:44,"711		268.0392758846	1657270.0000000000"
2016-06-22 10:25:45,"741		269.0694749355	1658090.0000000000"
2016-06-22 10:25:46,"723		270.0517170429	1657170.0000000000"
2016-06-22 10:25:47,"714		271.0418939590	1657250.0000000000"
2016-06-22 10:25:48,"709		272.0371119976	1658410.0000000000"
2016-06-22 10:25:49,"712		273.0403449535	1658130.0000000000"
2016-06-22 10:25:50,"709		274.0375349522	1658050.0000000000"
2016-06-22 10:25:51,"717		275.0457000732	1658150.0000000000"
2016-06-22 10:25:52,"716		276.0439400673	1658870.0000000000"
2016-06-22 10:25:53,"710		277.0380718708	1659090.0000000000"
2016-06-22 10:25:54,"714		278.0423369408	1659310.0000000000"
2016-06-22 10:25:55,"709		279.0375559330	1659020.0000000000"
2016-06-22 10:25:56,"750		280.0787239075	1658920.0000000000"
2016-06-22 10:25:57,"733		281.0610940456	1660270.0000000000"
2016-06-22 10:25:58,"716		282.0442390442	1656770.0000000000"
2016-06-22 10:25:59,"709		283.0374789238	1655170.0000000000"
2016-06-22 10:26:00,"710		284.0386519432	1655230.0000000000"
2016-06-22 10:26:01,"716		285.0437829494	1654920.0000000000"
2016-06-22 10:26:02,"730		286.0578589439	1655010.0000000000"
2016-06-22 10:26:03,"714		287.0421118736	1657690.0000000000"
2016-06-22 10:26:04,"709		288.0373649597	1666490.0000000000"
2016-06-22 10:26:05,"712		289.0405519009	1666820.0000000000"
2016-06-22 10:26:06,"709		290.0376720428	1666550.0000000000"
2016-06-22 10:26:07,"712		291.0398719311	1662440.0000000000"
2016-06-22 10:26:08,"742		292.0700900555	1661870.0000000000"
2016-06-22 10:26:09,"724		293.0522990227	1658300.0000000000"
2016-06-22 10:26:10,"714		294.0425670147	1656440.0000000000"
2016-06-22 10:26:11,"710		295.0378000736	1655730.0000000000"
2016-06-22 10:26:12,"713		296.0411028862	1656210.0000000000"
2016-06-22 10:26:13,"709		297.0373289585	1657970.0000000000"
2016-06-22 10:26:14,"721		298.0495719910	1656210.0000000000"
2016-06-22 10:26:15,"710		299.0378000736	1655550.0000000000"
2016-06-22 10:26:16,"710		300.0380020142	1654920.0000000000"
2016-06-22 10:26:17,"715		301.0431129932	1653970.0000000000"
2016-06-22 10:26:18,"709		302.0374529362	1654350.0000000000"
2016-06-22 10:26:19,"750		303.0785579681	1655080.0000000000"
2016-06-22 10:26:20,"732		304.0607290268	1654230.0000000000"
2016-06-22 10:26:21,"716		305.0439469814	1653770.0000000000"
2016-06-22 10:26:22,"709		306.0371210575	1652270.0000000000"
2016-06-22 10:26:23,"710		307.0383260250	1651750.0000000000"
2016-06-22 10:26:24,"715		308.0435669422	1652790.0000000000"
2016-06-22 10:26:25,"726		309.0547330379	1652850.0000000000"
2016-06-22 10:26:26,"714		310.0419759750	1651960.0000000000"
2016-06-22 10:26:27,"709		311.0371329784	1652380.0000000000"
2016-06-22 10:26:28,"712		312.0403828621	1652230.0000000000"
2016-06-22 10:26:29,"709		313.0376369953	1651780.0000000000"
2016-06-22 10:26:30,"712		314.0398280621	1650940.0000000000"
2016-06-22 10:26:31,"742		315.0700919628	1651190.0000000000"
2016-06-22 10:26:32,"724		316.0523669720	1650790.0000000000"
2016-06-22 10:26:33,"714		317.0425689220	1650470.0000000000"
2016-06-22 10:26:34,"710		318.0378289223	1650070.0000000000"
2016-06-22 10:26:35,"713		319.0409839153	1649610.0000000000"
2016-06-22 10:26:36,"709		320.0372619629	1649950.0000000000"
2016-06-22 10:26:37,"718		321.0465159416	1650110.0000000000"
2016-06-22 10:26:38,"710		322.0378000736	1651340.0000000000"
2016-06-22 10:26:39,"710		323.0380918980	1652660.0000000000"
2016-06-22 10:26:40,"715		324.0432159901	1650260.0000000000"
2016-06-22 10:26:41,"709		325.0373940468	1648750.0000000000"
2016-06-22 10:26:42,"750		326.0785858631	1648110.0000000000"
2016-06-22 10:26:43,"734		327.0618379116	1648650.0000000000"
2016-06-22 10:26:44,"716		328.0440919399	1649670.0000000000"
2016-06-22 10:26:45,"709		329.0373010635	1650900.0000000000"
2016-06-22 10:26:46,"711		330.0394940376	1649770.0000000000"
2016-06-22 10:26:47,"716		331.0446958542	1650640.0000000000"
2016-06-22 10:26:48,"727		332.0548789501	1647920.0000000000"
2016-06-22 10:26:49,"714		333.0421240330	1646110.0000000000"
2016-06-22 10:26:50,"709		334.0374488831	1648390.0000000000"
2016-06-22 10:26:51,"712		335.0407240391	1652690.0000000000"
2016-06-22 10:26:52,"709		336.0368840694	1649820.0000000000"
2016-06-22 10:26:53,"712		337.0399799347	1650260.0000000000"
2016-06-22 10:26:54,"742		338.0701448917	1649370.0000000000"
2016-06-22 10:26:55,"725		339.0534079075	1650190.0000000000"
2016-06-22 10:26:56,"714		340.0426950455	1649660.0000000000"
2016-06-22 10:26:57,"709		341.0369069576	1648420.0000000000"
2016-06-22 10:26:58,"713		342.0410978794	1648160.0000000000"
2016-06-22 10:26:59,"709		343.0372400284	1648350.0000000000"
2016-06-22 10:27:00,"719		344.0474319458	1648470.0000000000"
2016-06-22 10:27:01,"709		345.0376179218	1648240.0000000000"
2016-06-22 10:27:02,"711		346.0389039516	1647540.0000000000"
2016-06-22 10:27:03,"709		347.0370838642	1647310.0000000000"
2016-06-22 10:27:04,"709		348.0372788906	1647560.0000000000"
2016-06-22 10:27:05,"751		349.0794448853	1647560.0000000000"
2016-06-22 10:27:06,"733		350.0617280006	1646940.0000000000"
2016-06-22 10:27:07,"717		351.0447890759	1646380.0000000000"
2016-06-22 10:27:08,"709		352.0369858742	1646110.0000000000"
2016-06-22 10:27:09,"711		353.0391860008	1646070.0000000000"
2016-06-22 10:27:10,"709		354.0374200344	1645900.0000000000"
2016-06-22 10:27:11,"727		355.0553960800	1645560.0000000000"
2016-06-22 10:27:12,"714		356.0427320004	1645760.0000000000"
2016-06-22 10:27:13,"709		357.0370068550	1645920.0000000000"
2016-06-22 10:27:14,"713		358.0412020683	1645090.0000000000"
2016-06-22 10:27:15,"709		359.0374019146	1644100.0000000000"
2016-06-22 10:27:16,"712		360.0406448841	1644770.0000000000"
2016-06-22 10:27:17,"743		361.0708959103	1643780.0000000000"
2016-06-22 10:27:18,"725		362.0531110764	1643570.0000000000"
2016-06-22 10:27:19,"715		363.0433299541	1644800.0000000000"
2016-06-22 10:27:20,"709		364.0376079082	1645280.0000000000"
2016-06-22 10:27:21,"714		365.0418388844	1645730.0000000000"
2016-06-22 10:27:22,"709		366.0371019840	1644560.0000000000"
2016-06-22 10:27:23,"719		367.0472579002	1646150.0000000000"
2016-06-22 10:27:24,"709		368.0375258923	1646630.0000000000"
2016-06-22 10:27:25,"710		369.0386888981	1643160.0000000000"
2016-06-22 10:27:26,"709		370.0368800163	1643390.0000000000"
2016-06-22 10:27:27,"709		371.0370869637	1644050.0000000000"
2016-06-22 10:27:28,"751		372.0791959763	1644010.0000000000"
2016-06-22 10:27:29,"734		373.0624599457	1643580.0000000000"
2016-06-22 10:27:30,"716		374.0447080135	1644960.0000000000"
2016-06-22 10:27:31,"709		375.0369930267	1645120.0000000000"
2016-06-22 10:27:32,"712		376.0401210785	1644230.0000000000"
2016-06-22 10:27:33,"709		377.0374119282	1643760.0000000000"
2016-06-22 10:27:34,"731		378.0596258640	1643680.0000000000"
2016-06-22 10:27:35,"715		379.0428478718	1643320.0000000000"
2016-06-22 10:27:36,"709		380.0371000767	1643390.0000000000"
2016-06-22 10:27:37,"713		381.0413379669	1644050.0000000000"
2016-06-22 10:27:38,"709		382.0375719070	1643560.0000000000"
2016-06-22 10:27:39,"712		383.0407068729	1643320.0000000000"
2016-06-22 10:27:40,"743		384.0709090233	1643940.0000000000"
2016-06-22 10:27:41,"726		385.0540950298	1644320.0000000000"
2016-06-22 10:27:42,"709		386.0373020172	1645030.0000000000"
2016-06-22 10:27:43,"709		387.0376310349	1644960.0000000000"
2016-06-22 10:27:44,"714		388.0418579578	1645370.0000000000"
2016-06-22 10:27:45,"709		389.0371010303	1648830.0000000000"
2016-06-22 10:27:46,"723		390.0511770248	1648750.0000000000"
2016-06-22 10:27:47,"709		391.0374510288	1646450.0000000000"
2016-06-22 10:27:48,"711		392.0396978855	1648770.0000000000"
2016-06-22 10:27:49,"709		393.0369229317	1647980.0000000000"
2016-06-22 10:27:50,"710		394.0381028652	1647400.0000000000"
2016-06-22 10:27:51,"752		395.0802450180	1649440.0000000000"
2016-06-22 10:27:52,"734		396.0625240803	1647530.0000000000"
2016-06-22 10:27:53,"717		397.0457470417	1646910.0000000000"
2016-06-22 10:27:54,"710		398.0380039215	1645590.0000000000"
2016-06-22 10:27:55,"712		399.0400888920	1645600.0000000000"
2016-06-22 10:27:56,"709		400.0373029709	1642580.0000000000"
2016-06-22 10:27:57,"728		401.0564749241	1641800.0000000000"
2016-06-22 10:27:58,"715		402.0436558723	1642070.0000000000"
2016-06-22 10:27:59,"709		403.0369119644	1642550.0000000000"
2016-06-22 10:28:00,"714		404.0421378613	1642910.0000000000"
2016-06-22 10:28:01,"709		405.0373630524	1643470.0000000000"
2016-06-22 10:28:02,"713		406.0416319370	1644340.0000000000"
2016-06-22 10:28:03,"743		407.0708670616	1643630.0000000000"
2016-06-22 10:28:04,"726		408.0541079044	1643830.0000000000"
2016-06-22 10:28:05,"709		409.0372409821	1643580.0000000000"
2016-06-22 10:28:06,"709		410.0375778675	1644190.0000000000"
2016-06-22 10:28:07,"715		411.0428068638	1644570.0000000000"
2016-06-22 10:28:08,"709		412.0370049477	1645190.0000000000"
2016-06-22 10:28:09,"720		413.0482079983	1645450.0000000000"
2016-06-22 10:28:10,"709		414.0374660492	1645010.0000000000"
2016-06-22 10:28:11,"711		415.0397100449	1645290.0000000000"
2016-06-22 10:28:12,"710		416.0380380154	1644570.0000000000"
2016-06-22 10:28:13,"710		417.0381410122	1647360.0000000000"
2016-06-22 10:28:14,"752		418.0803279877	1646450.0000000000"
2016-06-22 10:28:15,"734		419.0625560284	1646160.0000000000"
2016-06-22 10:28:16,"717		420.0457639694	1646020.0000000000"
2016-06-22 10:28:17,"709		421.0368580818	1644900.0000000000"
2016-06-22 10:28:18,"712		422.0401539803	1644790.0000000000"
2016-06-22 10:28:19,"709		423.0373878479	1645740.0000000000"
2016-06-22 10:28:20,"728		424.0565629005	1641760.0000000000"
2016-06-22 10:28:21,"716		425.0438408852	1642700.0000000000"
