time,mass
2015-10-23 13:21:12 ,"649	eg06	153.0408229828	5858000.0000000000"
2015-10-23 13:21:13 ,"646	eg06	154.0368521214	5857600.0000000000"
2015-10-23 13:21:14 ,"648	eg06	155.0397441387	5856900.0000000000"
2015-10-23 13:21:15 ,"658	eg06	156.0497641563	5856400.0000000000"
2015-10-23 13:21:16 ,"646	eg06	157.0376939774	5855800.0000000000"
2015-10-23 13:21:17 ,"650	eg06	158.0417790413	5855300.0000000000"
2015-10-23 13:21:18 ,"645	eg06	159.0367650986	5854700.0000000000"
2015-10-23 13:21:19 ,"649	eg06	160.0406420231	5854200.0000000000"
2015-10-23 13:21:20 ,"646	eg06	161.0375909805	5853500.0000000000"
2015-10-23 13:21:21 ,"673	eg06	162.0645329952	5852800.0000000000"
2015-10-23 13:21:22 ,"656	eg06	163.0475389957	5852300.0000000000"
2015-10-23 13:21:23 ,"646	eg06	164.0375111103	5851700.0000000000"
2015-10-23 13:21:24 ,"651	eg06	165.0424551964	5851000.0000000000"
2015-10-23 13:21:25 ,"646	eg06	166.0373840332	5850600.0000000000"
2015-10-23 13:21:26 ,"667	eg06	167.0583531857	5849900.0000000000"
2015-10-23 13:21:27 ,"650	eg06	168.0414030552	5849500.0000000000"
2015-10-23 13:21:28 ,"648	eg06	169.0393261909	5848700.0000000000"
2015-10-23 13:21:29 ,"646	eg06	170.0373840332	5848200.0000000000"
2015-10-23 13:21:30 ,"646	eg06	171.0373311043	5847600.0000000000"
2015-10-23 13:21:31 ,"652	eg06	172.0432920456	5847300.0000000000"
2015-10-23 13:21:32 ,"682	eg06	173.0732929707	5846400.0000000000"
2015-10-23 13:21:33 ,"664	eg06	174.0552999973	5846100.0000000000"
2015-10-23 13:21:34 ,"647	eg06	175.0382630825	5845500.0000000000"
2015-10-23 13:21:35 ,"648	eg06	176.0391390324	5845100.0000000000"
2015-10-23 13:21:36 ,"646	eg06	177.0372791290	5844300.0000000000"
2015-10-23 13:21:37 ,"647	eg06	178.0380270481	5844000.0000000000"
2015-10-23 13:21:38 ,"658	eg06	179.0491771698	5843900.0000000000"
2015-10-23 13:21:39 ,"646	eg06	180.0371611118	5843100.0000000000"
2015-10-23 13:21:40 ,"650	eg06	181.0411469936	5842700.0000000000"
2015-10-23 13:21:41 ,"646	eg06	182.0371401310	5841800.0000000000"
2015-10-23 13:21:42 ,"648	eg06	183.0391361713	5841300.0000000000"
2015-10-23 13:21:43 ,"646	eg06	184.0371611118	5840800.0000000000"
2015-10-23 13:21:44 ,"673	eg06	185.0640420914	5840500.0000000000"
2015-10-23 13:21:45 ,"656	eg06	186.0470561981	5840000.0000000000"
2015-10-23 13:21:46 ,"646	eg06	187.0370810032	5839800.0000000000"
2015-10-23 13:21:47 ,"650	eg06	188.0410311222	5839600.0000000000"
2015-10-23 13:21:48 ,"646	eg06	189.0370621681	5838900.0000000000"
2015-10-23 13:21:49 ,"666	eg06	190.0568549633	5838500.0000000000"
2015-10-23 13:21:50 ,"649	eg06	191.0400121212	5837700.0000000000"
2015-10-23 13:21:51 ,"647	eg06	192.0379571915	5837100.0000000000"
2015-10-23 13:21:52 ,"652	eg06	193.0429010391	5836500.0000000000"
2015-10-23 13:21:53 ,"646	eg06	194.0368881226	5835700.0000000000"
2015-10-23 13:21:54 ,"651	eg06	195.0418870449	5836400.0000000000"
2015-10-23 13:21:55 ,"680	eg06	196.0717880726	5835600.0000000000"
2015-10-23 13:21:56 ,"663	eg06	197.0547780991	5834600.0000000000"
2015-10-23 13:21:57 ,"646	eg06	198.0378379822	5834200.0000000000"
2015-10-23 13:21:58 ,"647	eg06	199.0379331112	5833600.0000000000"
2015-10-23 13:21:59 ,"652	eg06	200.0429871082	5833200.0000000000"
2015-10-23 13:22:00 ,"646	eg06	201.0369861126	5832500.0000000000"
2015-10-23 13:22:01 ,"657	eg06	202.0479061604	5832100.0000000000"
2015-10-23 13:22:02 ,"646	eg06	203.0368771553	5832600.0000000000"
2015-10-23 13:22:03 ,"649	eg06	204.0398800373	5832500.0000000000"
2015-10-23 13:22:04 ,"646	eg06	205.0377781391	5831700.0000000000"
2015-10-23 13:22:05 ,"647	eg06	206.0386111736	5831000.0000000000"
2015-10-23 13:22:06 ,"688	eg06	207.0796771049	5830100.0000000000"
2015-10-23 13:22:07 ,"671	eg06	208.0627760887	5829700.0000000000"
2015-10-23 13:22:08 ,"654	eg06	209.0457930565	5828600.0000000000"
2015-10-23 13:22:09 ,"645	eg06	210.0367870331	5828000.0000000000"
2015-10-23 13:22:10 ,"648	eg06	211.0398190022	5828800.0000000000"
2015-10-23 13:22:11 ,"645	eg06	212.0367281437	5828300.0000000000"
2015-10-23 13:22:12 ,"664	eg06	213.0556821823	5828200.0000000000"
2015-10-23 13:22:13 ,"652	eg06	214.0437781811	5827800.0000000000"
2015-10-23 13:22:14 ,"645	eg06	215.0367991924	5826900.0000000000"
2015-10-23 13:22:15 ,"651	eg06	216.0418441296	5826400.0000000000"
2015-10-23 13:22:16 ,"645	eg06	217.0367851257	5827700.0000000000"
2015-10-23 13:22:17 ,"649	eg06	218.0408010483	5826800.0000000000"
2015-10-23 13:22:18 ,"679	eg06	219.0707511902	5825800.0000000000"
2015-10-23 13:22:19 ,"663	eg06	220.0538539886	5825400.0000000000"
2015-10-23 13:22:20 ,"645	eg06	221.0368151665	5824600.0000000000"
2015-10-23 13:22:21 ,"645	eg06	222.0368139744	5824100.0000000000"
2015-10-23 13:22:22 ,"650	eg06	223.0418009758	5825900.0000000000"
2015-10-23 13:22:23 ,"645	eg06	224.0367870331	5826300.0000000000"
2015-10-23 13:22:24 ,"655	eg06	225.0467011929	5825500.0000000000"
2015-10-23 13:22:25 ,"645	eg06	226.0367000103	5824600.0000000000"
2015-10-23 13:22:26 ,"647	eg06	227.0387179852	5824300.0000000000"
2015-10-23 13:22:27 ,"645	eg06	228.0366501808	5823600.0000000000"
2015-10-23 13:22:28 ,"646	eg06	229.0376260281	5827500.0000000000"
2015-10-23 13:22:29 ,"688	eg06	230.0795450211	5827400.0000000000"
2015-10-23 13:22:30 ,"670	eg06	231.0615971088	5826600.0000000000"
2015-10-23 13:22:31 ,"653	eg06	232.0445101261	5825500.0000000000"
2015-10-23 13:22:32 ,"646	eg06	233.0374410152	5825300.0000000000"
2015-10-23 13:22:33 ,"648	eg06	234.0393841267	5824500.0000000000"
