time,mass
2016-06-15 13:24:53,"437	sn13	111.0378971100	2545050.0000000000"
2016-06-15 13:24:54,"442	sn13	112.0428161621	2545100.0000000000"
2016-06-15 13:24:55,"436	sn13	113.0366959572	2544890.0000000000"
2016-06-15 13:24:56,"447	sn13	114.0475659370	2544660.0000000000"
2016-06-15 13:24:57,"437	sn13	115.0374929905	2544320.0000000000"
2016-06-15 13:24:58,"438	sn13	116.0393090248	2544280.0000000000"
2016-06-15 13:24:59,"437	sn13	117.0373690128	2544050.0000000000"
2016-06-15 13:25:00,"437	sn13	118.0382399559	2543700.0000000000"
2016-06-15 13:25:01,"479	sn13	119.0801720619	2543400.0000000000"
2016-06-15 13:25:02,"462	sn13	120.0630791187	2543110.0000000000"
2016-06-15 13:25:03,"445	sn13	121.0460910797	2542780.0000000000"
2016-06-15 13:25:04,"436	sn13	122.0370650291	2542400.0000000000"
2016-06-15 13:25:05,"439	sn13	123.0399899483	2542780.0000000000"
2016-06-15 13:25:06,"436	sn13	124.0369400978	2541740.0000000000"
2016-06-15 13:25:07,"456	sn13	125.0567131042	2540530.0000000000"
2016-06-15 13:25:08,"443	sn13	126.0437331200	2541060.0000000000"
2016-06-15 13:25:09,"437	sn13	127.0377140045	2541640.0000000000"
2016-06-15 13:25:10,"442	sn13	128.0426149368	2542470.0000000000"
2016-06-15 13:25:11,"437	sn13	129.0376131535	2542800.0000000000"
2016-06-15 13:25:12,"441	sn13	130.0415041447	2542430.0000000000"
2016-06-15 13:25:13,"470	sn13	131.0713160038	2541920.0000000000"
2016-06-15 13:25:14,"453	sn13	132.0541961193	2542310.0000000000"
2016-06-15 13:25:15,"436	sn13	133.0371439457	2542450.0000000000"
2016-06-15 13:25:16,"437	sn13	134.0380611420	2542300.0000000000"
2016-06-15 13:25:17,"442	sn13	135.0429921150	2542350.0000000000"
2016-06-15 13:25:18,"436	sn13	136.0369441509	2542200.0000000000"
2016-06-15 13:25:19,"448	sn13	137.0487990379	2542060.0000000000"
2016-06-15 13:25:20,"436	sn13	138.0367269516	2541920.0000000000"
2016-06-15 13:25:21,"440	sn13	139.0406680107	2541880.0000000000"
2016-06-15 13:25:22,"436	sn13	140.0365290642	2541520.0000000000"
2016-06-15 13:25:23,"437	sn13	141.0382699966	2541290.0000000000"
2016-06-15 13:25:24,"479	sn13	142.0802719593	2541160.0000000000"
2016-06-15 13:25:25,"462	sn13	143.0632750988	2541230.0000000000"
2016-06-15 13:25:26,"445	sn13	144.0461940765	2541150.0000000000"
2016-06-15 13:25:27,"437	sn13	145.0381200314	2540760.0000000000"
2016-06-15 13:25:28,"440	sn13	146.0410029888	2540550.0000000000"
2016-06-15 13:25:29,"437	sn13	147.0379221439	2541010.0000000000"
2016-06-15 13:25:30,"456	sn13	148.0568189621	2541060.0000000000"
2016-06-15 13:25:31,"439	sn13	149.0398180485	2540800.0000000000"
2016-06-15 13:25:32,"437	sn13	150.0376379490	2540570.0000000000"
2016-06-15 13:25:33,"442	sn13	151.0425219536	2540480.0000000000"
2016-06-15 13:25:34,"437	sn13	152.0374200344	2540360.0000000000"
2016-06-15 13:25:35,"441	sn13	153.0422940254	2540080.0000000000"
2016-06-15 13:25:36,"471	sn13	154.0721540451	2540080.0000000000"
2016-06-15 13:25:37,"454	sn13	155.0550510883	2540080.0000000000"
2016-06-15 13:25:38,"436	sn13	156.0370249748	2540170.0000000000"
2016-06-15 13:25:39,"437	sn13	157.0379810333	2539890.0000000000"
2016-06-15 13:25:40,"442	sn13	158.0428750515	2539710.0000000000"
2016-06-15 13:25:41,"437	sn13	159.0378010273	2539530.0000000000"
2016-06-15 13:25:42,"451	sn13	160.0518021584	2539520.0000000000"
2016-06-15 13:25:43,"436	sn13	161.0367150307	2539570.0000000000"
2016-06-15 13:25:44,"440	sn13	162.0406720638	2539370.0000000000"
2016-06-15 13:25:45,"436	sn13	163.0365080833	2539350.0000000000"
2016-06-15 13:25:46,"438	sn13	164.0384221077	2539330.0000000000"
2016-06-15 13:25:47,"480	sn13	165.0812971592	2539060.0000000000"
2016-06-15 13:25:48,"463	sn13	166.0642449856	2538970.0000000000"
2016-06-15 13:25:49,"445	sn13	167.0461931229	2538950.0000000000"
2016-06-15 13:25:50,"437	sn13	168.0380489826	2538980.0000000000"
2016-06-15 13:25:51,"440	sn13	169.0408799648	2538910.0000000000"
2016-06-15 13:25:52,"436	sn13	170.0367600918	2538920.0000000000"
2016-06-15 13:25:53,"457	sn13	171.0575790405	2538860.0000000000"
2016-06-15 13:25:54,"440	sn13	172.0403749943	2538780.0000000000"
2016-06-15 13:25:55,"438	sn13	173.0384960175	2538480.0000000000"
2016-06-15 13:25:56,"443	sn13	174.0434210300	2538290.0000000000"
2016-06-15 13:25:57,"436	sn13	175.0373461246	2538560.0000000000"
2016-06-15 13:25:58,"441	sn13	176.0422720909	2538220.0000000000"
2016-06-15 13:25:59,"471	sn13	177.0721321106	2538450.0000000000"
2016-06-15 13:26:00,"454	sn13	178.0550971031	2537890.0000000000"
2016-06-15 13:26:01,"437	sn13	179.0380489826	2538030.0000000000"
2016-06-15 13:26:02,"438	sn13	180.0389750004	2538370.0000000000"
2016-06-15 13:26:03,"437	sn13	181.0378251076	2538190.0000000000"
2016-06-15 13:26:04,"437	sn13	182.0376191139	2537790.0000000000"
2016-06-15 13:26:05,"449	sn13	183.0494730473	2538160.0000000000"
2016-06-15 13:26:06,"437	sn13	184.0374460220	2537790.0000000000"
2016-06-15 13:26:07,"440	sn13	185.0403699875	2537500.0000000000"
2016-06-15 13:26:08,"436	sn13	186.0372469425	2537110.0000000000"
2016-06-15 13:26:09,"438	sn13	187.0391271114	2536900.0000000000"
2016-06-15 13:26:10,"436	sn13	188.0370211601	2536970.0000000000"
2016-06-15 13:26:11,"463	sn13	189.0638909340	2536550.0000000000"
2016-06-15 13:26:12,"446	sn13	190.0468130112	2536690.0000000000"
2016-06-15 13:26:13,"436	sn13	191.0366899967	2536640.0000000000"
2016-06-15 13:26:14,"441	sn13	192.0416591167	2537150.0000000000"
2016-06-15 13:26:15,"438	sn13	193.0385730267	2536950.0000000000"
2016-06-15 13:26:16,"457	sn13	194.0573980808	2537810.0000000000"
2016-06-15 13:26:17,"439	sn13	195.0403490067	2537220.0000000000"
2016-06-15 13:26:18,"438	sn13	196.0393171310	2537220.0000000000"
2016-06-15 13:26:19,"442	sn13	197.0432529449	2536650.0000000000"
2016-06-15 13:26:20,"436	sn13	198.0371739864	2536800.0000000000"
2016-06-15 13:26:21,"442	sn13	199.0429711342	2538110.0000000000"
2016-06-15 13:26:22,"472	sn13	200.0729479790	2537070.0000000000"
2016-06-15 13:26:23,"455	sn13	201.0557861328	2536500.0000000000"
2016-06-15 13:26:24,"437	sn13	202.0378279686	2536860.0000000000"
2016-06-15 13:26:25,"438	sn13	203.0386250019	2536650.0000000000"
2016-06-15 13:26:26,"437	sn13	204.0374691486	2536610.0000000000"
2016-06-15 13:26:27,"438	sn13	205.0384769440	2536830.0000000000"
2016-06-15 13:26:28,"448	sn13	206.0493240356	2536970.0000000000"
2016-06-15 13:26:29,"436	sn13	207.0373001099	2537080.0000000000"
2016-06-15 13:26:30,"440	sn13	208.0412399769	2537320.0000000000"
2016-06-15 13:26:31,"436	sn13	209.0370750427	2536610.0000000000"
2016-06-15 13:26:32,"439	sn13	210.0399990082	2537160.0000000000"
2016-06-15 13:26:33,"436	sn13	211.0368700027	2536910.0000000000"
2016-06-15 13:26:34,"463	sn13	212.0638370514	2536570.0000000000"
2016-06-15 13:26:35,"446	sn13	213.0466580391	2536100.0000000000"
2016-06-15 13:26:36,"436	sn13	214.0366649628	2535380.0000000000"
2016-06-15 13:26:37,"441	sn13	215.0415630341	2535450.0000000000"
2016-06-15 13:26:38,"437	sn13	216.0375621319	2535700.0000000000"
2016-06-15 13:26:39,"461	sn13	217.0613999367	2535770.0000000000"
2016-06-15 13:26:40,"440	sn13	218.0413200855	2537220.0000000000"
2016-06-15 13:26:41,"438	sn13	219.0392291546	2535800.0000000000"
2016-06-15 13:26:42,"436	sn13	220.0371501446	2536080.0000000000"
2016-06-15 13:26:43,"437	sn13	221.0379760265	2535820.0000000000"
2016-06-15 13:26:44,"442	sn13	222.0429530144	2535830.0000000000"
2016-06-15 13:26:45,"472	sn13	223.0728540421	2535520.0000000000"
2016-06-15 13:26:46,"455	sn13	224.0558371544	2535570.0000000000"
2016-06-15 13:26:47,"438	sn13	225.0388469696	2535570.0000000000"
2016-06-15 13:26:48,"439	sn13	226.0398120880	2535460.0000000000"
2016-06-15 13:26:49,"436	sn13	227.0366399288	2535070.0000000000"
2016-06-15 13:26:50,"438	sn13	228.0386021137	2535340.0000000000"
2016-06-15 13:26:51,"449	sn13	229.0494351387	2536360.0000000000"
2016-06-15 13:26:52,"436	sn13	230.0373520851	2535880.0000000000"
2016-06-15 13:26:53,"440	sn13	231.0412881374	2536420.0000000000"
2016-06-15 13:26:54,"436	sn13	232.0371270180	2536410.0000000000"
2016-06-15 13:26:55,"439	sn13	233.0399999619	2534050.0000000000"
2016-06-15 13:26:56,"436	sn13	234.0367951393	2533540.0000000000"
2016-06-15 13:26:57,"464	sn13	235.0648260117	2533830.0000000000"
2016-06-15 13:26:58,"447	sn13	236.0476541519	2533540.0000000000"
2016-06-15 13:26:59,"437	sn13	237.0375080109	2534310.0000000000"
2016-06-15 13:27:00,"442	sn13	238.0425059795	2534810.0000000000"
2016-06-15 13:27:01,"437	sn13	239.0374281406	2535080.0000000000"
2016-06-15 13:27:02,"457	sn13	240.0583550930	2535350.0000000000"
2016-06-15 13:27:03,"443	sn13	241.0442719460	2535920.0000000000"
2016-06-15 13:27:04,"438	sn13	242.0391120911	2535700.0000000000"
2016-06-15 13:27:05,"437	sn13	243.0381569862	2535400.0000000000"
2016-06-15 13:27:06,"437	sn13	244.0379810333	2535820.0000000000"
2016-06-15 13:27:07,"442	sn13	245.0429520607	2535840.0000000000"
2016-06-15 13:27:08,"472	sn13	246.0728299618	2535570.0000000000"
2016-06-15 13:27:09,"456	sn13	247.0566630363	2534990.0000000000"
2016-06-15 13:27:10,"438	sn13	248.0385251045	2534870.0000000000"
2016-06-15 13:27:11,"440	sn13	249.0404450893	2534730.0000000000"
2016-06-15 13:27:12,"437	sn13	250.0374281406	2534880.0000000000"
2016-06-15 13:27:13,"439	sn13	251.0393810272	2534570.0000000000"
2016-06-15 13:27:14,"449	sn13	252.0502591133	2534980.0000000000"
2016-06-15 13:27:15,"436	sn13	253.0371589661	2535160.0000000000"
2016-06-15 13:27:16,"441	sn13	254.0419919491	2534580.0000000000"
2016-06-15 13:27:17,"436	sn13	255.0368759632	2533600.0000000000"
2016-06-15 13:27:18,"440	sn13	256.0408279896	2534480.0000000000"
2016-06-15 13:27:19,"436	sn13	257.0367169380	2534110.0000000000"
2016-06-15 13:27:20,"464	sn13	258.0645790100	2534170.0000000000"
2016-06-15 13:27:21,"447	sn13	259.0474860668	2534360.0000000000"
2016-06-15 13:27:22,"437	sn13	260.0374031067	2534370.0000000000"
2016-06-15 13:27:23,"441	sn13	261.0423319340	2534670.0000000000"
2016-06-15 13:27:24,"436	sn13	262.0372591019	2533830.0000000000"
2016-06-15 13:27:25,"461	sn13	263.0621061325	2533580.0000000000"
2016-06-15 13:27:26,"444	sn13	264.0450050831	2534390.0000000000"
2016-06-15 13:27:27,"439	sn13	265.0397989750	2533100.0000000000"
2016-06-15 13:27:28,"437	sn13	266.0378360748	2533960.0000000000"
2016-06-15 13:27:29,"438	sn13	267.0387070179	2535050.0000000000"
2016-06-15 13:27:30,"443	sn13	268.0436389446	2535370.0000000000"
2016-06-15 13:27:31,"473	sn13	269.0734319687	2535690.0000000000"
2016-06-15 13:27:32,"455	sn13	270.0563230515	2535670.0000000000"
2016-06-15 13:27:33,"438	sn13	271.0392799377	2534280.0000000000"
2016-06-15 13:27:34,"439	sn13	272.0401811600	2535620.0000000000"
2016-06-15 13:27:35,"436	sn13	273.0371360779	2535180.0000000000"
2016-06-15 13:27:36,"438	sn13	274.0389990807	2534460.0000000000"
